uniprot_acc	pathway_id	pathway_name
H0YNU5	hsa03460	Fanconi anemia pathway
P38398	hsa03460	Fanconi anemia pathway
P51587	hsa03460	Fanconi anemia pathway
Q13472	hsa03460	Fanconi anemia pathway
O94782	hsa03460	Fanconi anemia pathway
Q9BQ83	hsa03460	Fanconi anemia pathway
Q86YC2	hsa03460	Fanconi anemia pathway
H3BN63	hsa03460	Fanconi anemia pathway
Q9H9A7	hsa03460	Fanconi anemia pathway
Q96NY9	hsa03460	Fanconi anemia pathway
Q0VG06	hsa03460	Fanconi anemia pathway
Q9BX63	hsa03460	Fanconi anemia pathway
A0A804HL36	hsa03460	Fanconi anemia pathway
Q8WXE1	hsa03460	Fanconi anemia pathway
Q8IY92	hsa03460	Fanconi anemia pathway
O95985	hsa03460	Fanconi anemia pathway
Q9BTP7	hsa03460	Fanconi anemia pathway
K7EKQ4	hsa03460	Fanconi anemia pathway
Q9Y4R8	hsa03460	Fanconi anemia pathway
Q9Y243	hsa04010	MAPK signaling pathway
A0A5F9ZHU3	hsa04010	MAPK signaling pathway
P0C869	hsa04010	MAPK signaling pathway
O95267	hsa04010	MAPK signaling pathway
Q7LDG7	hsa04010	MAPK signaling pathway
O60359	hsa04010	MAPK signaling pathway
Q9Y698	hsa04010	MAPK signaling pathway
Q15750	hsa04010	MAPK signaling pathway
Q9Y2U5	hsa04010	MAPK signaling pathway
O95257	hsa04010	MAPK signaling pathway
Q92918	hsa04010	MAPK signaling pathway
Q9Y6W6	hsa04010	MAPK signaling pathway
O15111	hsa04010	MAPK signaling pathway
Q8TDF6	hsa04010	MAPK signaling pathway
Q3MJ16	hsa04010	MAPK signaling pathway
P41279	hsa04010	MAPK signaling pathway
P15336	hsa04010	MAPK signaling pathway
P46108	hsa04010	MAPK signaling pathway
P46109	hsa04010	MAPK signaling pathway
Q16539	hsa04010	MAPK signaling pathway
B4E0K5	hsa04010	MAPK signaling pathway
P09603	hsa04010	MAPK signaling pathway
P07333	hsa04010	MAPK signaling pathway
