Chip Run Info,C:\Users\Pierre\Desktop\hIPSC project\1362362588_plate2_v2_human_lineage_10-4-18\ChipRun.bml,1362362588,96.96 (136x),GE 96x96 Standard v1,ROX,EvaGreen,10/04/2018 3:51:47 PM,01:54:01,BIOMARKHD173,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.3.1
Application Build,20170404.1035
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S06-A38,FA1 Day3 B,Unknown,1,Mixl1,Test,18.911634225983,1,Pass,0.0113351551779112,87.890364936435,999,1
S06-A39,FA1 Day3 B,Unknown,1,Tbx6,Test,23.4817786941027,1,Pass,0.0113351551779112,82.389341021838,999,1
S06-A40,FA1 Day3 B,Unknown,1,Shh,Test,999,0,Fail,0.0113351551779112,999,999,0
S06-A41,FA1 Day3 B,Unknown,1,Lgr5,Test,21.6540493458433,1,Pass,0.0113351551779112,78.8754830674322,999,1
S06-A42,FA1 Day3 B,Unknown,1,Bmp4,Test,20.1483734235146,1,Pass,0.0113351551779112,80.71857657336,999,1
S06-A43,FA1 Day3 B,Unknown,1,Myh1,Test,999,0,Fail,0.0113351551779112,999,999,0
S06-A44,FA1 Day3 B,Unknown,1,Myl3,Test,23.0076574970904,1,Pass,0.0113351551779112,77.2761799578598,999,1
S06-A45,FA1 Day3 B,Unknown,1,Zic1,Test,999,0,Fail,0.0113351551779112,999,999,0
S06-A46,FA1 Day3 B,Unknown,1,Pax6,Test,21.4560427046681,1,Pass,0.0113351551779112,77.2278455432437,999,1
S06-A47,FA1 Day3 B,Unknown,1,L1cam,Test,23.2588719379592,1,Pass,0.0113351551779112,86.2702670244963,999,1
