Chip Run Info,G:\Lab 5 Image Data\Project and data\hIPSC\Differentiation\DE Diff\RT_and_qPCR\BioMark\UQ hepatocyte BioMark\1362419391_23-10-19_hepatocyte\ChipRun.bml,1362419391,96.96 (136x),GE 96x96 Standard v1,ROX,EvaGreen,23/10/2019 3:40:17 PM,01:53:50,BIOMARKHD173,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.5.2
Application Build,20180628.1231
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S06-A59,FA3-1- 18hr Dox D4,Unknown,1,Sox1,Test,999,0,Flag,0.0128092640861449,999,999,0
S06-A58,FA3-1- 18hr Dox D4,Unknown,1,Vim,Test,10.8932026954311,1,Pass,0.0128092640861449,82.1117858644534,999,1
S06-A57,FA3-1- 18hr Dox D4,Unknown,1,Myh7,Test,17.8979622210241,1,Pass,0.0128092640861449,86.9854875956576,999,1
S06-A56,FA3-1- 18hr Dox D4,Unknown,1,Smtn,Test,17.5200840226155,1,Pass,0.0128092640861449,86.2572861829169,999,1
S06-A55,FA3-1- 18hr Dox D4,Unknown,1,Bmp4,Test,15.2666749721968,1,Pass,0.0128092640861449,80.8428900384621,999,1
S06-A66,FA3-1- 18hr Dox D4,Unknown,1,CYP2C19,Test,21.8812311051536,1,Pass,0.0128092640861449,79.1861141957964,999,1
S06-A65,FA3-1- 18hr Dox D4,Unknown,1,Fgf8,Test,15.0741168576709,1,Pass,0.0128092640861449,83.432023091261,999,1
S06-A64,FA3-1- 18hr Dox D4,Unknown,1,Acvr1b,Test,16.1555881970177,1,Pass,0.0128092640861449,87.1783100241182,999,1
S06-A63,FA3-1- 18hr Dox D4,Unknown,1,Sox17,Test,12.9092802442744,1,Pass,0.0128092640861449,85.816990521027,999,1
S06-A62,FA3-1- 18hr Dox D4,Unknown,1,Nodal,Test,12.7827126805456,1,Pass,0.0128092640861449,85.0211601485811,999,1
S06-A61,FA3-1- 18hr Dox D4,Unknown,1,Nanog,Test,11.8969680035101,1,Pass,0.0128092640861449,81.0809594022569,999,1
S06-A72,FA3-1- 18hr Dox D4,Unknown,1,TBP,Test,14.4596199300979,1,Pass,0.0128092640861449,82.1984405603562,999,1
S06-A71,FA3-1- 18hr Dox D4,Unknown,1,Otx2,Test,10.8392974689755,1,Pass,0.0128092640861449,82.1424051806477,999,1
S06-A70,FA3-1- 18hr Dox D4,Unknown,1,Pou4f1,Test,999,0,Flag,0.0128092640861449,999,999,0
S06-A69,FA3-1- 18hr Dox D4,Unknown,1,Cd34,Test,19.2637883421406,1,Pass,0.0128092640861449,79.0841453795002,999,1
