Chip Run Info,C:\Users\Osteil\Desktop\To Read & Write\hiPSC\Biomark\plate 1 121121_C32-DPVR and Anai samples_\ChipRun.bml,1362627095,96.96 (136x),GE 96x96 Standard v1,ROX,EvaGreen,12/11/2021 04:57:29,01:54:03,BIOMARKHD173,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.8.1
Application Build,20210907.1056
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S96-A94,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Gbx2,Test,27.5454336663155,0.998797575280529,Pass,0.0102617438427988,74.7344476349245,999,1
S96-A93,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Nes,Test,14.5857499085427,0.989602446158572,Pass,0.0102617438427988,84.7453596380018,999,1
S96-A92,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Ryr2,Test,17.4351549424798,1,Pass,0.0102617438427988,79.0126862797117,999,1
S96-A91,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Mesp1,Test,22.6362702365548,0.981402655430051,Pass,0.0102617438427988,83.8853180835368,999,1
S06-A01,C32-DVPR IO 1 Dox P4,Unknown,1,Zic3,Test,20.1007491935537,0.950098613042362,Pass,0.0102617438427988,86.8194217050245,999,1
S06-A02,C32-DVPR IO 1 Dox P4,Unknown,1,Sox2,Test,16.7770662951768,1,Pass,0.0102617438427988,78.6275373786631,999,1
S06-A03,C32-DVPR IO 1 Dox P4,Unknown,1,Gsc,Test,23.2507189625273,0.764514474026249,Pass,0.0102617438427988,88.7010242012726,999,1
S06-A04,C32-DVPR IO 1 Dox P4,Unknown,1,AFP,Test,17.3956039928297,1,Pass,0.0102617438427988,86.3250192071993,999,1
S06-A05,C32-DVPR IO 1 Dox P4,Unknown,1,Gata4,Test,19.4513451120645,1,Pass,0.0102617438427988,85.0883915980267,999,1
S06-A06,C32-DVPR IO 1 Dox P4,Unknown,1,Fgf8,Test,999,0,Flag,0.0102617438427988,999,999,0
S06-A07,C32-DVPR IO 1 Dox P4,Unknown,1,Gata2,Test,999,0,Flag,0.0102617438427988,999,999,0
S06-A08,C32-DVPR IO 1 Dox P4,Unknown,1,Nkx2-5,Test,33.457368760948,0.179970768322876,Flag,0.0102617438427988,81.6933428139816,999,1
S06-A09,C32-DVPR IO 1 Dox P4,Unknown,1,Comp,Test,22.9455151666687,1,Pass,0.0102617438427988,84.0965146372838,999,1
S06-A10,C32-DVPR IO 1 Dox P4,Unknown,1,Olig2,Test,26.5884373968304,0.7614777766316,Pass,0.0102617438427988,85.7409953298991,999,1
S06-A11,C32-DVPR IO 1 Dox P4,Unknown,1,Gfap,Test,999,0,Flag,0.0102617438427988,999,999,0
S06-A12,C32-DVPR IO 1 Dox P4,Unknown,1,TH,Test,999,0,Flag,0.0102617438427988,999,999,0
S06-A13,C32-DVPR IO 1 Dox P4,Unknown,1,Dppa4,Test,29.1865978656623,0.791748571301702,Pass,0.0102617438427988,84.1598855175371,999,1
S06-A14,C32-DVPR IO 1 Dox P4,Unknown,1,Zfp42,Test,18.4585301634019,1,Pass,0.0102617438427988,75.7999688289541,999,1
S06-A15,C32-DVPR IO 1 Dox P4,Unknown,1,Tdgf1,Test,20.0334823464465,1,Pass,0.0102617438427988,86.1341378213183,999,1
S06-A16,C32-DVPR IO 1 Dox P4,Unknown,1,Cdx2,Test,15.6840858820909,1,Pass,0.0102617438427988,84.6736675832565,999,1
S06-A17,C32-DVPR IO 1 Dox P4,Unknown,1,Pecam1,Test,20.4873306738452,1,Pass,0.0102617438427988,80.6907925760307,999,1
S06-A18,C32-DVPR IO 1 Dox P4,Unknown,1,Nod2,Test,24.3309694091098,1,Pass,0.0102617438427988,84.1415787585293,999,1
S06-A19,C32-DVPR IO 1 Dox P4,Unknown,1,Hand1,Test,999,0,Flag,0.0102617438427988,999,999,0
S06-A20,C32-DVPR IO 1 Dox P4,Unknown,1,Pdgfra,Test,19.6451754340939,1,Pass,0.0102617438427988,79.3189115962759,999,1
S06-A21,C32-DVPR IO 1 Dox P4,Unknown,1,Ccr5,Test,999,0,Flag,0.0102617438427988,999,999,0
S06-A22,C32-DVPR IO 1 Dox P4,Unknown,1,Chat,Test,999,0,Flag,0.0102617438427988,999,999,0
S06-A23,C32-DVPR IO 1 Dox P4,Unknown,1,Tubb3,Test,17.2522239880061,1,Pass,0.0102617438427988,89.3441499477808,999,1
S06-A24,C32-DVPR IO 1 Dox P4,Unknown,1,Gapdh,Test,8.75883070299493,1,Pass,0.0102617438427988,82.632560691246,999,1
S06-A25,C32-DVPR IO 1 Dox P4,Unknown,1,Fgf5,Test,19.8720699401249,1,Pass,0.0102617438427988,72.6461501863953,999,1
S06-A26,C32-DVPR IO 1 Dox P4,Unknown,1,T,Test,999,0,Flag,0.0102617438427988,999,999,0
S06-A27,C32-DVPR IO 1 Dox P4,Unknown,1,Axin2,Test,16.630239016766,1,Pass,0.0102617438427988,83.6910735813586,999,1
S06-A28,C32-DVPR IO 1 Dox P4,Unknown,1,VSX2,Test,999,0,Flag,0.0102617438427988,999,999,0
S06-A29,C32-DVPR IO 1 Dox P4,Unknown,1,Hnf4a,Test,16.6306074629143,1,Pass,0.0102617438427988,83.9970148322447,999,1
S06-A30,C32-DVPR IO 1 Dox P4,Unknown,1,Cxcr4,Test,13.3585031380636,1,Pass,0.0102617438427988,77.8396397169682,999,1
S06-A31,C32-DVPR IO 1 Dox P4,Unknown,1,Hand2,Test,20.3175853209754,1,Pass,0.0102617438427988,80.1320264342609,999,1
S06-A32,C32-DVPR IO 1 Dox P4,Unknown,1,Runx1,Test,16.7844789096737,1,Pass,0.0102617438427988,83.7794390114004,999,1
S06-A33,C32-DVPR IO 1 Dox P4,Unknown,1,Krt10,Test,11.65372219848,1,Pass,0.0102617438427988,78.1541332525007,999,1
S06-A34,C32-DVPR IO 1 Dox P4,Unknown,1,Foxd3,Test,17.8115435869149,1,Pass,0.0102617438427988,81.8226453041785,999,1
S06-A35,C32-DVPR IO 1 Dox P4,Unknown,1,Gad1,Test,21.7064911408994,1,Pass,0.0102617438427988,88.4206825138953,999,1
S06-A36,C32-DVPR IO 1 Dox P4,Unknown,1,Actb,Test,10.3836821608041,1,Pass,0.0102617438427988,82.1397939358133,999,1
S06-A37,C32-DVPR IO 1 Dox P4,Unknown,1,Klf2,Test,23.3177076121513,1,Pass,0.0102617438427988,86.0223651280924,999,1
S06-A38,C32-DVPR IO 1 Dox P4,Unknown,1,Mixl1,Test,24.1231965144502,1,Pass,0.0102617438427988,87.6629337884253,999,1
S06-A39,C32-DVPR IO 1 Dox P4,Unknown,1,Tbx6,Test,20.4448549560812,1,Pass,0.0102617438427988,82.1031986982982,999,1
