maxquant_row_id	num_gene_names	gene_names	uniprot_acc	is_unique	protein_ids
3598	1	NMT1	P30419	Unique	P30419;A0A7I2V539;P30419-2;A0A7I2V3X4;A0A7I2V3U5;B7Z8J4;A0A7I2V4Y5;K7EN82;K7EN42;A0A7I2V3M5
3599	1	HMOX2	P30519	Unique	P30519;A0A087WT44;I3L159;I3L1F5;I3L1Y2;I3L4P8;A0A1B0GXH0;I3L463;I3L276
3600	2	GOLGA8R:HMOX2	I6L899:P30519-2	Multimapped	P30519-2;I6L899
3601	2	ADSS2:ADSS1	P30520:G3V232	Multimapped	P30520;G3V5D8;G3V232
3602	1	AXL	P30530	Unique	P30530;P30530-2;M0R0W6
3603	1	LRPAP1	P30533	Unique	P30533;A0A3B3IRQ7;D6REW6
3604	1	CLIP1	P30622	Unique	P30622-2;P30622-1;P30622;J3KP58;F5H0N7;A0A3B3ITA2;F5H6A0;F5H1T5;F5H367;F5H270;A0A3B3IS27
3605	1	SRI	P30626	Unique	P30626;C9J0K6;P30626-2;P30626-3;B4DHQ6;E9PG82
3606	1	SERPINB1	P30740	Unique	P30740;P30740-2
3607	1	SLC7A1	P30825	Unique	P30825;Q5JR49
3608	2	ALDH1B1:ALDH1A1	P30837:P00352	Multimapped	P30837;P00352
3609	2	SDHA:NA	P31040:A0A494C1T6	Multimapped	P31040;P31040-2;D6RFM5;A0A087X1I3;P31040-3;A0A494C1T6;H0Y8X1
3611	1	GDI1	P31150	Unique	P31150;G5E9U5
3612	1	MAT2A	P31153	Unique	P31153;P31153-2
3613	1	PRKAR2B	P31323	Unique	P31323
3614	1	CPS1	P31327	Unique	P31327;P31327-3;P31327-2;A0A669KBF2;Q5R211
3615	1	RRM2	P31350	Unique	P31350;P31350-2;A0A7P0SBL1;A0A286YFD6;A0A2R8Y837
3616	1	SDC4	P31431	Unique	P31431-2;P31431
3617	1	DNAJA1	P31689	Unique	P31689;P31689-2
3618	1	AKT2	P31751	Unique	P31751;P31751-2;M0R0P9;J3QKW1;A0A0A0MRF1;A8MX96;A0A1B0GXA2;J3KRI8;J3QLS6;A0A5F9ZHJ8;C9JHS6;C9JIJ1;M0QZK3;E7EVP8;C9JC83;J3KSY8;C9J258;J3KTP4;M0QZW8;M0R283;J3QL45;C9JIF6;M0R275
3619	1	UQCRC1	P31930	Unique	P31930
3620	1	HIBADH	P31937	Unique	P31937;H7BZL2
3621	1	ATIC	P31939	Unique	P31939;P31939-2;H7C1S2;C9JLK0;F8WEF0
3622	1	HNRNPH3	P31942	Unique	P31942;P31942-3;P31942-4;P31942-5;P31942-6
3623	1	HNRNPH3	P31942-2	Unique	P31942-2
